from,subject,date
"""SHEIN"" <shein@news.shein.com>",¡No dejes que se queden en tu carrito! Es hora de llevarlos a casa.,2025-05-10 21:40:36+00:00
=?UTF-8?b?RGlEaSBwYXJhIChNw6l4aWNvKQ==?= <didi@mx.didiglobal.com>,Consejo del Día: DiDi Card no te cobra nada,2025-05-10 20:31:18+00:00
"""Hey Banco"" <noreply@hola.hey.inc>","Josue, ¿qué compran las mamás en 2025? 🤔",2025-05-10 19:16:13+00:00
HackerRank Team <no-reply@hackerrankmail.com>,Can You Solve Weather Observation Station 6?,2025-05-10 15:50:22+00:00
"""Jobgether"" <support@jobgether.com>","Your job search, solved. Let’s get you hired.",2025-05-10 15:17:05+00:00
"""SHEIN"" <shein@email.shein.com>",¡Eleva tus curvas! ¡Eleva tu estilo!,2025-05-10 13:52:30+00:00
ATTITUDE <info@attitudeliving.com>,Gifts Ideas for Baby Shower Season ,
"""Under Armour"" <underarmour@emails.underarmour.com>",Wear HeatGear® when it’s hot 🔥,2025-05-10 13:10:10+00:00
"""Jobgether Talent Team"" <shortlist@jobgether.com>",Follow-up on your application to Junior IT Automation Engineer,2025-05-10 09:31:33+00:00
Chrono24 Newsletter <mail@chrono24.com>,Relojes de lujo según sus gustos,2025-05-10 08:16:08+00:00
Citi Human Resources <citi@myworkday.com>,Thank you for considering Citi!,
Ford Careers <RecruitingNoReply@ford.com>,New job opportunities at Ford Global Career Site,
Lumosity <newsletter@notifications.lumosity.com>,You don't want to miss our Space Trace unlock,
Fusemachines <recruiting+359738102-75127a63@applytojob.com>,Fusemachines Application Update,2025-05-09 23:10:28+00:00
"""SHEIN"" <shein@news.shein.com>",¡No dejes que se queden en tu carrito! Es hora de llevarlos a casa.,2025-05-09 22:18:20+00:00
MacroFactor Team <support@macrofactorapp.com>,How’s,
=?UTF-8?b?RGlEaSBwYXJhIChNw6l4aWNvKQ==?= <didi@mx.didiglobal.com>,Consejo del Día: DiDi Card no te cobra nada,2025-05-09 21:24:22+00:00
DICK'S Sporting Goods  <DSG@e.dcsg.com>,"This Mother's Day gift guide is worth a look! Get her something
 she'll love",2025-05-09 20:46:02+00:00
Mensajes de LinkedIn <messaging-digest-noreply@linkedin.com>,Bilal y Mohammad Mahfuzur te ha enviado nuevos mensajes,
PriceTravel <emarketing@em.pricetravel.com>,✨ 5 días,
"""SHEIN"" <shein@email.shein.com>",¡Ahorros en liquidación que no puedes ignorar!,2025-05-09 16:10:27+00:00
"=?UTF-8?Q?Aerom=C3=A9xico_Noticias?=
 <amnoticias@mx.aeromexico.com>",Participa por un pase doble al festival Sabor Es Polanco,2025-05-09 15:14:37+00:00
Hyperskill Crew <crew@hyperskill.org>,🦾 Vibe Coding:,
"""Under Armour"" <underarmour@emails.underarmour.com>",Project Rock gear built for your fiercest rival…,2025-05-09 12:25:06+00:00
"""adidas"" <adidas@mx-news.adidas.com>",¡Domina tus entrenamientos🏋️‍♂️!,2025-05-09 11:07:45+00:00
"""Jobgether Talent Team"" <shortlist@jobgether.com>",Next Steps for Your Job Application: Junior IT Automation Engineer at Jobgether,2025-05-09 09:31:03+00:00
confirmacion-compra@servicioscinepolis.com.mx,Confirmación,2025-05-09 02:30:01+00:00
LeetCode <no-reply@leetcode.com>,LeetCode Weekly Digest,2025-05-09 01:25:22+00:00
"""adidas"" <adidas@mx-news.adidas.com>",// Para tu rutina // adidas te acompaña,2025-05-09 00:26:43+00:00
"""SHEIN"" <shein@news.shein.com>",¡No dejes que se queden en tu carrito! Es hora de llevarlos a casa.,2025-05-08 23:23:22+00:00
=?UTF-8?Q?Club_Cin=C3=A9polis?= <clubcinepolis@beneficioscinepolis.com>,Verifica tu identidad en Club Cinépolis,2025-05-08 22:47:50+00:00
Udemy <no-reply@e.udemymail.com>,Social Authentication Added,
Hyperskill Crew <crew@hyperskill.org>,🧩,
Windsurf Team <updates@windsurf.ai>,Wave 8: Big Updates for JetBrains Users,2025-05-08 20:09:11+00:00
"""IBM"" <no-reply@m.mail.coursera.org>",Master Generative AI for your job role!,2025-05-08 18:46:53+00:00
"""SHEIN"" <shein@edm.mx.shein.com>",¿No encuentras nada que te guste?,2025-05-08 18:38:14+00:00
Braintrust <donotreply@usebraintrust.com>,🔔,
PriceTravel <emarketing@em.pricetravel.com>,✨ ¿Listo,
"""ClickUp Team"" <team@mail.clickup.com>",Web search has arrived in ClickUp AI 🌐,2025-05-08 17:29:57+00:00
no-reply@g-p.com,Notification regarding your application with G-P,2025-05-08 17:13:05+00:00
=?utf-8?B?UG9zdHVsYWNpw7NuIHbDrWEgSW5kZWVk?= <indeedapply@indeed.com>,Postulación en Indeed: Estructurador de Datos,2025-05-08 13:42:44+00:00
"""Grupo ViZion "" <no-reply@pandape.com>",Mantente informado sobre tu candidatura para Analista de Datos,
=?utf-8?B?UG9zdHVsYWNpw7NuIHbDrWEgSW5kZWVk?= <indeedapply@indeed.com>,Postulación en Indeed: Analista de Datos,2025-05-08 13:40:59+00:00
ATTITUDE <info@attitudeliving.com>,🚨LAST,
"""SHEIN"" <shein@email.shein.com>",¡Llamando a los creadores de tendencias!,2025-05-08 13:17:14+00:00
"""Under Armour"" <underarmour@emails.underarmour.com>",🚨 New Drop Alert: No Weigh Backpack,2025-05-08 13:08:51+00:00
"""Nintendo"" <nintendo-noreply@nintendo.net>",Actualizaciones del Acuerdo de usuario de la cuenta Nintendo y la Política de privacidad de Nintendo,2025-05-08 10:18:59+00:00
no-reply@telusinternational.ai,Your Registration Status,
Google Flights <noreply-travel@google.com>,Ruta que sigues: vuelos de Chihuahua a Tijuana desde 2.279 MXN,2025-05-08 08:02:40+00:00
Ford Careers <RecruitingNoReply@ford.com>,New job opportunities at Ford Global Career Site,
"""Indeed"" <alert@indeed.com>","Nueva vacante de Ingeniero Biomédico en Promedica y 3 nuevas vacantes de biomedica en Chihuahua, Chih. ",2025-05-08 04:19:39+00:00
Lumosity <newsletter@notifications.lumosity.com>,The stars have aligned,
"""Alejandro Aguilar, Alegra"" <alejandro.aguilar@alegra.na.teamtailor-mail.com>",Próximo paso para ser Junior Data Analyst (Collection) en Alegra 🌟,2025-05-08 01:17:40+00:00
"""Alejandro Aguilar, Alegra"" <alejandro.aguilar@alegra.na.teamtailor-mail.com>",Hemos recibido tu aplicación 🚀,2025-05-08 01:02:27+00:00
"=?UTF-8?Q?Aerom=C3=A9xico_Promociones?=
 <ampromociones@mx.aeromexico.com>",Inscríbete a Aeroméxico Rewards by Sebastián Zurita,2025-05-08 00:00:56+00:00
"""Samsung"" <no-reply@m21.email.samsung.com>",Adiós aburrimiento con Galaxy Tab S10 FE+,2025-05-07 23:59:02+00:00
"""SHEIN"" <shein@news.shein.com>",¡No dejes que se queden en tu carrito! Es hora de llevarlos a casa.,2025-05-07 23:56:13+00:00
Hey Banco <heybanco@express.medallia.com>,¡Queremos conocer tu Experiencia!,
Monster Hunter Now <monsterhunternow@email.nianticlabs.com>,Get Ready for the Elder Dragon Chameleos & Spring Hunt 2025!,
HackerRank Team <no-reply@hackerrankmail.com>,Improve your Coding Skills with sWAP cASE,2025-05-07 20:50:36+00:00
"""Indeed"" <donotreply@match.indeed.com>",Customer Service Representative en Datamark Inc.,2025-05-07 20:02:56+00:00
"""Indeed"" <donotreply@match.indeed.com>","APOYO/SOPORTE A SISTEMAS, INGENIERO O TECNICO (CUALQUIER CARRERA), OPCION MEDIO TIEMPO en JORGE FERNANDEZ",2025-05-07 20:02:55+00:00
"""Indeed"" <donotreply@match.indeed.com>",Desarrollador .NET C# en Hunit Automotriz,2025-05-07 20:02:54+00:00
"""Indeed"" <donotreply@match.indeed.com>",IT Systems Engineer en PEGATRON México,2025-05-07 20:02:52+00:00
"""Indeed"" <donotreply@match.indeed.com>",Soporte TI en GRUPO CISNEROS,2025-05-07 20:02:52+00:00
"""Indeed"" <donotreply@match.indeed.com>",Atencion a clientes sin experiencia / Administrativo bilingue en Hispanic Teleservices De Guadalajara SA de CV,2025-05-07 20:02:50+00:00
Costco Mexico <costcoenlinea@email.costco.com.mx>,🔑 Tu código de verificación de Costco 821357,
"=?UTF-8?Q?Aerom=C3=A9xico_Noticias?=
 <amnoticias@mx.aeromexico.com>","Aeroméxicanos, fanáticos del arte de volar",2025-05-07 17:38:06+00:00
Substack <no-reply@substack.com>,People you know are on Substack,2025-05-07 17:12:23+00:00
"""adidas"" <adidas@mx-news.adidas.com>",BASKETBALL CLASSICS 🏀,2025-05-07 16:20:35+00:00
"""UA Rewards"" <underarmour@emails.underarmour.com>",EARLY ACCESS: No Weigh Backpack,2025-05-07 15:20:35+00:00
no-reply@us.greenhouse-mail.io,Your Application With Toshiba Global Commerce Solutions - Internship Toshiba,2025-05-07 14:42:24+00:00
"""Dr. Bitly"" <hello@e.bitly.com>",Ask your doctor if Bitly is right for you.,2025-05-07 12:07:12+00:00
"""Indeed"" <no-reply@indeed.com>",How's it going with Jabil Circuit?,2025-05-07 09:03:45+00:00
DICK'S | Flash Sale  <DSG@e.dcsg.com>,"One day ONLY! Flash Sale savings time, get up to 50% off.",2025-05-07 07:27:31+00:00
"""Rebrandly"" <noreply@rebrandly.com>",NEW: AI-generated link previews,2025-05-07 07:10:05+00:00
no-reply@telusinternational.ai,Important Update: Next Steps for the Online Data Analyst Role,
"""Samsung"" <no-reply@m21.email.samsung.com>","Josue, tus ojos piden más y te damos $1,000 MXN para lograrlo 🤩👉",2025-05-07 02:03:34+00:00
josue monge <josuemonge704@gmail.com>,"Re: Seguimiento a pre-registro al ""2do. Diplomado Internacional en Semiconductores""",2025-05-06 22:31:52+00:00
"""Indeed"" <donotreply@match.indeed.com>",Becario Informatico en Plataformas en línea para consumo colaborativo SA de CV,2025-05-06 21:40:01+00:00
"""Indeed"" <donotreply@match.indeed.com>",Desarrollador de Software en Vemasmas,2025-05-06 21:39:51+00:00
"""Under Armour"" <underarmour@emails.underarmour.com>",Don't wait—she deserves the best,2025-05-06 21:19:49+00:00
Fitbit <noreply@fitbit.com>,Tu informe de progreso semanal de Fitbit,2025-05-06 20:30:04+00:00
"""Indeed"" <donotreply@match.indeed.com>",Ingeniero de software Node.js en OTIF,2025-05-06 20:03:10+00:00
"""Indeed"" <donotreply@match.indeed.com>",Tester QA - Pruebas de software en Kordata,2025-05-06 20:03:09+00:00
"""Indeed"" <donotreply@match.indeed.com>",Desarrollador de Software en IDEA15,2025-05-06 20:03:08+00:00
Glassdoor Community <noreply@glassdoor.com>,"I think my boss is mentally living in 2002. Because when I told him I
 needed a...",
=?UTF-8?Q?Capacitaci=C3=B3n_CIMAV?= <capacitacion@cimav.edu.mx>,"Seguimiento a pre-registro al ""2do. Diplomado Internacional en Semiconductores""",2025-05-06 19:19:04+00:00
ITJ Talent <talent@itj.com>,📢#TechTalkAlert📢 Soft Skills: Think sharper. Speak clearer. Solve smarter.,2025-05-06 18:44:29+00:00
Substack <no-reply@substack.com>,Create your account on Substack,2025-05-06 17:12:16+00:00
Google Search <search-noreply@google.com>,Tienes nuevos resultados de la dark web,2025-05-06 16:54:22+00:00
"""ClickUp Team"" <team@mail.clickup.com>",AI-powered Cards are here 🦾,2025-05-06 15:44:36+00:00
HackerRank Team <no-reply@hackerrankmail.com>,Can You Solve Calendar Module?,2025-05-06 14:51:23+00:00
Codecademy <learn@itr.mail.codecademy.com>,May newsletter: Maintain your momentum,2025-05-06 13:52:49+00:00
ATTITUDE <info@attitudeliving.com>,FREE SHIPPING IS ,
"""SHEIN"" <shein@email.shein.com>",¡Descubre tus nuevos productos de belleza favoritos!,2025-05-06 13:31:58+00:00
"=?UTF-8?Q?The_Pok=C3=A9mon_Company_International?=
 <pokemon@email.pokemon.com>",Viaja por Unova con JCC Pokémon 🖤🤍,2025-05-06 13:13:59+00:00
"""adidas"" <adidas@mx-news.adidas.com>",¡Hasta 40% OFF en el Outlet!,2025-05-06 13:15:55+00:00
no-reply@us.greenhouse-mail.io,"Thanks for your interest in Study.com, josue",2025-05-06 13:15:14+00:00
SodaPDF <info@enews.sodapdf.com>,[Attention Required] Your account is now expired,2025-05-06 12:32:46+00:00
careers@sezzle.com,Sezzle Application Update,2025-05-06 11:00:04+00:00
Ford Careers <RecruitingNoReply@ford.com>,New job opportunities at Ford Global Career Site,
"""ELSA Speak"" <elsa@promo.elsanow.io>",💬 Communicate in English Like a Boss! New Tools Inside!,2025-05-06 01:00:07+00:00
"""Indeed"" <donotreply@match.indeed.com>",Desarrollador Web en Confidencial,2025-05-06 00:59:09+00:00
"""Samsung"" <no-reply@m21.email.samsung.com>","Select AI te da mantenimiento, instalación gratis y actualización",2025-05-05 22:09:25+00:00
Dwayne McDaniel <dwayne.mcdaniel@gitguardian.com>,💡 Explore GitGuardian Resources 2/2,2025-05-05 21:38:23+00:00
"""Indeed"" <donotreply@match.indeed.com>",Becario Renovables en ENERGYZA de México S.A de C.V,2025-05-05 20:02:55+00:00
"=?UTF-8?Q?Aerom=C3=A9xico_Promociones?=
 <ampromociones@mx.aeromexico.com>","Vuela a Cancún desde $3,245 MXN, ¡no esperes más y viaja a tu destino favorito! 🏖️",2025-05-05 18:14:41+00:00
"""adidas CONFIRMED"" <news@link.adidas.com>",adidas Originals x Willy Chavarria,2025-05-05 16:25:17+00:00
HackerRank Team <no-reply@hackerrankmail.com>,Improve your coding skills with 30 Days of Code,2025-05-05 14:51:06+00:00
dikshapareek@google.com,Following up on your recent application to Google,2025-05-05 13:32:14+00:00
Bitly Team <hello@e.bitly.com>,You haven't claimed your name.,2025-05-05 12:06:07+00:00
no-reply@g-p.com,Thank you for applying to G-P,2025-05-04 23:26:04+00:00
no-reply@us.greenhouse-mail.io,Thank You for Applying to Data Scientist | Study.com,2025-05-04 23:25:04+00:00
Workable <noreply@candidates.workablemail.com>,Thanks for applying to ALTEN MÉXICO,2025-05-04 23:22:38+00:00
careers@sezzle.com,Thank you for applying! | Sezzle,2025-05-04 23:16:06+00:00
Workable <noreply@candidates.workablemail.com>,Thanks for applying to Jobgether,2025-05-04 23:10:06+00:00
Workable <noreply@candidates.workablemail.com>,Thanks for applying to Tiger Analytics,2025-05-04 23:08:40+00:00
"""Indeed"" <donotreply@match.indeed.com>",Analista proveedores GMM GNP seguros en GRUPO NACIONAL PROVINCIAL S.A.B.,2025-05-04 20:03:33+00:00
"""Indeed"" <donotreply@match.indeed.com>",Becario de TI en logistics,2025-05-04 20:03:34+00:00
"""Indeed"" <donotreply@match.indeed.com>",Desarrollador Web en Tando,2025-05-04 20:03:30+00:00
HackerRank Team <no-reply@hackerrankmail.com>,We Challenge You to Solve collections.Counter(),2025-05-04 18:51:52+00:00
"""SHEIN"" <shein@edm.mx.shein.com>",¡Roba el centro de atención con estos looks llamativos!,2025-05-04 15:08:41+00:00
ATTITUDE <info@attitudeliving.com>,Can You Still Tan With Sunscreen On? ,
"""Under Armour"" <underarmour@emails.underarmour.com>",Our top shoes $100 & under,2025-05-04 13:20:36+00:00
DICK'S Sporting Goods  <DSG@e.dcsg.com>,Find something great for Mom in this week's deals! 💐 Mother's Day is May 11 💐,2025-05-04 10:22:34+00:00
AliExpress <best-info04.a3@deals.aliexpress.com>,Relojes que marcan la diferencia,
LinkedIn <notifications-noreply@linkedin.com>,Tienes 3 mensajes nuevos,
Google Flights <noreply-travel@google.com>,Ruta que sigues: vuelos de Chihuahua a Tijuana desde 2.784 MXN,2025-05-04 01:46:49+00:00
"""Indeed"" <donotreply@match.indeed.com>",Recién Egresados en Sistemas o Informática en Digis01,2025-05-03 20:03:42+00:00
"""Hey Banco"" <noreply@hola.hey.inc>","Josue, así se cuidan los famosos del calor💧",2025-05-03 19:30:28+00:00
HackerRank Team <no-reply@hackerrankmail.com>,Practice Coding with Maximize It!,2025-05-03 16:53:30+00:00
"""SHEIN"" <shein@email.shein.com>",¡Ofertas elegantes para figuras impresionantes!,2025-05-03 13:39:34+00:00
"""Under Armour"" <underarmour@emails.underarmour.com>",Your everyday gym shirt but better,2025-05-03 13:12:41+00:00
Roche <opportunities@careeralerts.roche.com>,Almost there! Complete your application with just a few clicks.,
Dwayne McDaniel <dwayne.mcdaniel@gitguardian.com>,⚡️ Start detecting secrets,2025-05-02 21:38:23+00:00
DICK'S Sporting Goods  <DSG@e.dcsg.com>,You just scored up to 50% off — this week has some great DEALS! 💸,2025-05-02 20:46:01+00:00
"""Samsung"" <no-reply@m21.email.samsung.com>","Josue, Samsung Vision AI redefine lo que significa ver 🤯 ¡Regístrate ya!",2025-05-02 20:35:22+00:00
"""Indeed"" <donotreply@match.indeed.com>",Big Data en Numaris,2025-05-02 20:04:09+00:00
"""Indeed"" <donotreply@match.indeed.com>",Backend Developer en TIENDA TEC,2025-05-02 20:04:09+00:00
"""Indeed"" <donotreply@match.indeed.com>",Recién Egresados en Sistemas o Informática en Risosu,2025-05-02 20:04:09+00:00
"""Indeed"" <donotreply@match.indeed.com>",DESARROLLADOR FULLSTACK ASSOCIATE/JR en SOLUCIONES EMPRESARIALES TIOC,2025-05-02 20:04:06+00:00
GitHub <noreply@github.com>,"[GitHub] A third-party OAuth application has been added to your
 account",2025-05-02 18:56:31+00:00
"""SHEIN"" <shein@edm.mx.shein.com>",¿No encuentras nada que te guste?,2025-05-02 18:18:31+00:00
PriceTravel <emarketing@em.pricetravel.com>,¡Viajar!;,
"""Sam's Benefits"" <hola@pranagroup.mx>",🌸🎀 Lo que mamá quiere está aquí (y con descuento),
"""adidas"" <adidas@mx-news.adidas.com>",adidas Basketball Classics,2025-05-02 16:09:56+00:00
LinkedIn <messages-noreply@linkedin.com>,"Josue Alfredo, sigue a Daniela Martínez Avila - Talent Acquisition Specialist en Abbott",
HackerRank Team <no-reply@hackerrankmail.com>,Welcome to HackerRank,2025-05-02 14:51:10+00:00
"""SHEIN"" <shein@email.shein.com>",¡Es hora de cambiar tu estilo!,2025-05-02 13:45:01+00:00
ATTITUDE <info@attitudeliving.com>,-25% ON ALL PET CARE ,
Perry Ellis <perryellis@email.perryellis.com>,The Friends & Family Event Ends Soon,
"""Under Armour"" <underarmour@emails.underarmour.com>",Lap the field in new running shorts,2025-05-02 12:36:08+00:00
HackerRank Team <hackers@hackerrank.com>,HackerRank password reset instructions,2025-05-02 03:35:24+00:00
LinkedIn <updates-noreply@linkedin.com>,"Teleflex Interventional Cardiology & Radiology ha publicado
 recientemente",
Citi Human Resources <citi@myworkday.com>,Thank you for your interest in Citi!,
no-reply@telusinternational.ai,Reset your AI Community password,
Improvado <no-reply@hire.lever.co>,Thank you for your application to Improvado,2025-05-01 23:04:16+00:00
Workday <zillow@myworkday.com>,Thank you for your application!,
Roche <GDPR@careersprivacy.roche.com>,GDPR Compliance Statement,
Talenteca <reclutadores-gk1ency0to0mnqrdapft121@talenteca.com>,"RECLUTAMIENTO EN ACCION CORPORATIVA S.A.S. DE C.V. recibió tu postulación para ""Analista Junior""",
Talenteca <no-reply@talenteca.com>,245185 es tu código de Talenteca,
GE Vernova Workday Notifications <gevernova@myworkday.com>,Thank you for Applying,
LeetCode <no-reply@leetcode.com>,LeetCode Weekly Digest,2025-05-01 22:23:21+00:00
Google Cloud <CloudPlatform-noreply@google.com>,Confirmación de la cuenta: tu prueba gratuita de Google Cloud,2025-05-01 21:52:57+00:00
"""Indeed"" <no-reply@indeed.com>",Confirm your interest in a quick message to INGENIERIA Y EQUIPOS DE CONTROL SA DE CV,2025-05-01 20:37:21+00:00
TELMEX <comunidadinfinitum@eninfinitum.com>,¡Gracias por tu pago!,
"""TELMEX"" <informacion@aviso.telmex.com>",Saldo vencido $389.00 de tu servicio 6144989532. Paga aquí,2025-05-01 18:30:09+00:00
GNC REWARDS <boletin@newsletter.gnc.com.mx>,¡Regresa con 15% off! 🤩🛍️,
Braintrust <donotreply@usebraintrust.com>,🔔,
"""Coursera"" <Coursera@m.learn.coursera.org>",Learn AI product management from Microsoft 🚀,2025-05-01 17:35:04+00:00
"""adidas"" <adidas@mx-news.adidas.com>",Descubre lo que necesitas — el cielo es el límite,2025-05-01 17:35:00+00:00
"""Indeed"" <donotreply@match.indeed.com>",Ingeniero de Soporte Técnico Nocturno en APPVANTGARDE,2025-05-01 17:11:22+00:00
"""Indeed"" <donotreply@match.indeed.com>",Desarrollador Web en Datamatic Software,2025-05-01 17:11:21+00:00
"""Indeed"" <donotreply@match.indeed.com>",Tester QA Jr en Ahorra Seguros,2025-05-01 17:11:17+00:00
"""Indeed"" <donotreply@match.indeed.com>",E-commerce Web Developer en Envia.com,2025-05-01 17:11:15+00:00
"""Indeed"" <donotreply@match.indeed.com>",Workday Developer en SGF Global,2025-05-01 17:11:12+00:00
"""Booking.com"" <email.campaign@sg.booking.com>","¿Josue, tienes depresión",
"""SHEIN"" <shein@email.shein.com>",Cierre: ,2025-05-01 13:27:21+00:00
"""Under Armour"" <underarmour@emails.underarmour.com>",Get your Mother's Day gifts in time,2025-05-01 12:48:22+00:00
Hyperskill Crew <crew@hyperskill.org>,🎞️,
Bitly Team <hello@e.bitly.com>,(No more) guessing.,2025-05-01 12:00:27+00:00
Ford Careers <RecruitingNoReply@ford.com>,New job opportunities at Ford Global Career Site,
Google Play <googleplay-noreply@google.com>,Your Google Play Order Receipt from 30 Apr 2025,
HackerRank Team <no-reply@hackerrankmail.com>,Can You Solve Revising Aggregations - The Count Function?,2025-05-01 03:52:03+00:00
"""TELMEX"" <informacion@aviso.telmex.com>",¡Que no pare la diversión!,
Resideo Careers <Recruiting@resideo.com>,Your recent job application for Firmware Engineer I - 16010,
Resideo Careers <Recruiting@resideo.com>,Confirm your identity for job Firmware Engineer I - 16010,
GitGuardian Team <support@gitguardian.com>,Historical Scan Report from GitGuardian - 2 Secrets,
GitGuardian Team <support@gitguardian.com>,Historical Scan Report from GitGuardian - 2 Secrets,
GitGuardian Team <support@gitguardian.com>,Historical Scan Report from GitGuardian - 2 Secrets,
GitGuardian Team <support@gitguardian.com>,Historical Scan Report from GitGuardian - 2 Secrets,
GitGuardian Team <support@gitguardian.com>,sue-btis/moodify - 1 internal incident detected,
"""roadmap.sh"" <roadmap@email.roadmap.sh>","Introducing AI Tutor, Java roadmap, and more!",
"=?UTF-8?Q?Aerom=C3=A9xico_Promociones?=
 <ampromociones@mx.aeromexico.com>","Mazatlán desde $3,675 MXN, ¡haz feliz a mamá con un viaje sorpresa!",
GitGuardian Team <support@gitguardian.com>,Historical Scan Report from GitGuardian - 2 Secrets,
GitGuardian Team <support@gitguardian.com>,sue-btis/moodify - 1 internal incident detected,
Dwayne McDaniel <dwayne.mcdaniel@gitguardian.com>,[Important] Enable Shift Left Protection,
GitGuardian Team <support@gitguardian.com>,Historical Scan Report from GitGuardian - 2 Secrets,
GitHub <noreply@github.com>,"[GitHub] A third-party GitHub Application has been added to your
 account",
GitGuardian <security@getgitguardian.com>,[sue-btis/moodify] Bearer Token exposed on GitHub,
GitGuardian <security@getgitguardian.com>,[sue-btis/moodify] Spotify Keys exposed on GitHub,
"""Indeed"" <donotreply@match.indeed.com>",Técnico en Informática en Inventec IEC Technologies,
"""Indeed"" <donotreply@match.indeed.com>",Desarrollador web Java en Solución Factible Consultores,
"""Indeed"" <donotreply@match.indeed.com>",Ingeniero de Diseño Mecánico/Electronico en ARG CONSULTORES CORP,
"""Indeed"" <donotreply@match.indeed.com>",Desarrollador Web Scraping Junior en OSGO HOME,
"""Indeed"" <donotreply@match.indeed.com>",Soporte Técnico para Empresa de Gaming / Lunes a Viernes 2 Días de Descanso en Teleperformance,
Monster Hunter Now <monsterhunternow@email.nianticlabs.com>,ALL Bows Boosted for Even Happier Bow Hunting! ,
Knowely <mailer@knowely.com>,📊 Just launched: Data Analytics for beginners!,
"""Indeed"" <donotreply@match.indeed.com>",Ingeniero de Soporte en Leventh Comercializadora,
"""TELMEX"" <informacion@aviso.telmex.com>",Saldo vencido $389.00 de tu servicio 6144989532. Paga aquí,
"""SHEIN"" <shein@email.shein.com>",SHEIN WOMEN | Descubre infinitas posibilidades de estilo,
=?UTF-8?B?TGlua2VkSW4=?= <linkedin@e.linkedin.com>,"¡Hola, Josue Alfredo! Muchas gracias por tu confianza",
"""Info Santander Open Academy"" <info@e.santanderopenacademy.com>",🏁 ¡Vive la F1 como nunca antes! Participa y gana entradas para F1 QATAR AIRWAYS BRITISH GRAND PRIX en Silvertsone,
ATTITUDE <info@attitudeliving.com>,"Proudly Made In-House, from A to Z ",
"""Under Armour"" <underarmour@emails.underarmour.com>",Up to 25% off ends today,
"""adidas"" <adidas@mx-news.adidas.com>",¡Descubre los nuevos Lightblaze!,
"=?UTF-8?Q?The_Pok=C3=A9mon_Company_International?=
 <pokemon@email.pokemon.com>",Obtén una carta de promoción de Rayquaza ex en JCC Pokémon Pocket,
Kaggle <noreply@kaggle.com>,[Model Launch] Qwen 3 Is Now on Kaggle!,
DICK'S Sporting Goods  <DSG@e.dcsg.com>,"Here's up to 50% off (lucky you!) You should really take a look at
 this week's best DEALS.",
IconScout <mail@iconscout.com>,Introducing 3D Illustration Generator & 3D Character Generator 🚀,
"""Rebrandly"" <noreply@rebrandly.com>",Rebrandly Insider: Level up your link strategy with new tools,
Fitbit <messages-noreply@fitbit.com>,Queda poca batería en tu Sense.,
"""INSCYD"" <media@inscyd.com>",Hi and welcome!,
AutoZone Recruiter <noreply@invalidemail.com>,"INTERN - IT General Services-250002VV at AutoZone.com, Inc.",
AutoZone Recruiter <noreply@invalidemail.com>,"INTERN - BUSINESS ANALYSIS -250001KB at AutoZone.com, Inc.",
LinkedIn <updates-noreply@linkedin.com>,Sandor Kekesi ha publicado recientemente,
LinkedIn <messages-noreply@linkedin.com>,"💬 Josue Alfredo, añade a Edith Porras García - Pasante de Ingeniería Biomédica",
"""TELMEX"" <informacion@aviso.telmex.com>",Saldo vencido $389.00 de tu servicio 6144989532. Paga aquí,
no-reply@us.greenhouse-mail.io,Thank you for applying to Wizeline,
no_reply@shift-technology.com,Thank you for applying to Shift Technology,
"""Under Armour"" <underarmour@emails.underarmour.com>",Best sellers that live up to the hype,
Terrascope <no-reply@hire.lever.co>,Thank you for your application to Terrascope,
no-reply@us.greenhouse-mail.io,Thank you for applying to Udemy,
=?utf-8?B?UG9zdHVsYWNpw7NuIHbDrWEgSW5kZWVk?= <indeedapply@indeed.com>,Postulación en Indeed: Convocatoria para Prácticas Profesionales en Ingeniería de Software,
=?utf-8?B?UG9zdHVsYWNpw7NuIHbDrWEgSW5kZWVk?= <indeedapply@indeed.com>,Postulación en Indeed: Analista de Datos,
=?utf-8?B?UG9zdHVsYWNpw7NuIHbDrWEgSW5kZWVk?= <indeedapply@indeed.com>,Postulación en Indeed: Ingeniero en programación,
MongoDB <mongodbteam@messages.mongodb.com>,Scale AI with Confidence: MongoDB & Datadog on Google Cloud,
SHEIN <noreply@sheinnotice.com>,Confirmación,
SHEIN <noreply@sheinnotice.com>,Confirmación,
SHEIN <noreply@sheinnotice.com>,Confirmación,
Fitbit <noreply@fitbit.com>,Tu informe de progreso semanal de Fitbit,
Fitbit <noreply@fitbit.com>,Tu informe de progreso semanal de Fitbit,
GNC REWARDS <boletin@newsletter.gnc.com.mx>,¡Regresa con 15% off! 🤩🛍️,
Glassdoor Community <noreply@glassdoor.com>,I’m,
Chrono24 <newsletter@chrono24.com>,La fascinante hora saltante,
SHEIN <noreply@sheinnotice.com>,El ,
"""Indeed"" <donotreply@match.indeed.com>",Desarrollador de Software Jr en Blueweb Software Solutions,
"""SHEIN"" <shein@news.shein.com>",💖 ¡Collared Lantern Sleeve Buttoned.... se está agotando rápido!,
"""SHEIN"" <shein@email.shein.com>",¡Refresca y revive con nuestras mejores selecciones para el cuidado de la piel!,
"""adidas"" <adidas@mx-news.adidas.com>",TURN UP THE HEAT🌴 🏁,
"""Under Armour"" <underarmour@emails.underarmour.com>","Unstoppable shorts, hoodies & jackets",
